sector,latitude,longitude
sector 7,28.37602775,76.91221522459477
sector 3,28.4973905,77.020526
sohna road,28.4243234,77.0383471
sector 61,28.4110188,77.0963685
sector 92,28.4089049,76.9155232
sector 36,28.419334,76.9889256
dwarka expressway,28.4980467,77.0047674
sector 104,28.4795324,76.9937197
sector 88,28.4219647,76.9568078
sector 78,28.3725283,76.9702955
sector 81,28.3873647,76.9475835
sector 79,28.47224985,76.96540457531492
sector 33,28.4384785,77.0251655
sector 90,28.4069974,76.9365562
sector 108,28.5128994,76.9823615
sector 62,28.407697,77.0823781
sector 102,28.4754872,76.9711747
sector 89,28.4184455,76.9457567
sector 113,28.5286649,77.0250282
sector 65,28.404235399999997,77.06925773240255
sector 48,28.4104903,77.0394627
sector 37,28.4342681,76.999294
sector 2,28.5090499,77.0342831
sector 43,28.4548735,77.0858864
sector 68,28.388897,77.0459859
sector 109,28.5109205,77.0065956
sector 106,28.5060806,76.9967796
sector 82,28.3931076,76.9588762
sector 85,28.403652,76.9531428
sector 28,28.4741302,77.0825722
sector 10,28.4445813,77.0060231
manesar,28.32470955,76.92637867182586
sector 21,28.5143629,77.0730087
sector 84,28.4082289,76.9630245
sector 71,28.4064564,77.0233125
sector 77,28.3832337,76.982557
sector 67,28.3864052,77.0598046
sector 57,28.4232478,77.0804487
sector 95,28.4149443,76.9114892
sector 99,28.4645549,76.9628585
sector 103,28.493087,76.9866453
sector 49,28.4128851,77.0498362
sector 30,28.4616245,77.0566819233162
sector 86,28.3981205,76.9411257
sector 66,28.3974292,77.0538823
sector 15,28.38431985,76.91223255583242
sector 4,28.4750063,77.0103535
sector 22,28.506318,77.0655182
sector 63,28.3964476,77.086498
sector 52,28.4368166,77.0795276
sector 107,28.506941,76.9752137
sector 12,28.39241105,76.89851436068395
sector 9,28.38409855,76.88613371114232
sector 29,28.4669197,77.0671306
sector 91,28.4007588,76.9210802
sector 1,28.518781349999998,77.04186229714875
sector 70,28.3947261,77.0223138
gwal pahari,28.4345071,77.14465262823839
sector 47,28.4251572,77.0475128
golf course road,28.44989,77.0993889
sector 54,28.44161105,77.1118717823344
sector 111,28.5222773,77.0336203
sector 41,28.4569188,77.0646046
sector 73,28.4088081,77.0161691
sector 56,28.4253232,77.0985157
sector 83,28.3981087,76.9732873
sector 53,28.4415191,77.096805
sector 72,28.4159257,77.0290772
sector 69,28.3960701,77.0372311
sector 110,28.5069625,77.018321
sector 44,28.4507064,77.0738281
sector 11,28.3781429,76.87537746132031
sector 14,28.3833517,76.90156540750243
sector 50,28.4166536,77.0611745
sector 25,28.4860888,77.084224
sector 59,28.4030162,77.1066682
sector 24,28.4944811,77.1013038
sector 38,28.4351423,77.0403538
ambience island,28.5007796,77.102441
sector 112,28.5203402,77.0188612
sector 45,28.4449004,77.0663545
sector 74,28.41127625,77.01066904675434
sector 60,28.3985617,77.0978276
sector 51,28.4287011,77.0666877
sector 39,28.4423675,77.0504724
sector 58,28.4160012,77.1085564
sector 80,28.3702173,76.9611159
sector 55,28.4274166,77.1097538
sector 128,28.42826235,77.00270014657752
sector 93,28.4156048,76.931638
sector 23,28.510319,77.0530094
sector 76,28.3910112,76.9900243
sector 31,28.4540044,77.0497179
new gurgaon,28.422088449999997,77.10429893398548
sector 32,28.4458035,77.0413169
sector 5,28.4803924,77.0190946
faridabad road,28.4070322,77.2005601
sector 6,28.4753259,77.0258279
samaspur,28.4315737,77.0619368
sector 35,28.4145669,77.0018689
sector 105,28.4943133,77.0081378
